Original,Refactoring
((A & !B) -> (!C -> !D)),(!A | B | C | !D)
((!A & !B & C & !D) -> E),(A | B | !C | D | E)
!(A & (B | C | D)),(!A | (!B & !C & !D))
((!A & !B & !C) -> (!D & !E)),(A | B | C | (!D & !E))
((!A & B & C & D) -> !E),!(!A & B & C & D & E)
(((A | !B) & !C) -> !D),((!A & B) | C | !D)
((!A & B & !C & (C | D)) -> E),(A | !B | C | (!C & !D) | E)
(((A | B | C | !D) & !E) -> !F),((!A & !B & !C & D) | E | !F)
((!A & B) -> (!C & !D)),(A | !B | (!C & !D))
((A & !B & C) -> (!D & !E)),(!A | B | !C | (!D & !E))
((A & !B) -> (C & !D & !E)),(!A | B | (C & !D & !E))
((!A & B & C) -> !D),(A | !B | !C | !D)
(A -> (!B & !C & !D & !E)),((B | C | D | E) -> !A)
((!A & B & !C) -> D),(A | !B | C | D)
((A & B) -> (!C & !D)),(!A | !B | (!C & !D))
(((A | B | !C) & !D) -> !E),((!A & !B & C) | D | !E)
((A & !B) -> !(C | D)),(!A | B | (!C & !D))
((!A & !B & !C & D & !E) -> F),(A | B | C | !D | E | F)
((A & !B & C) -> (!D & !E & !F)),(!A | B | !C | (!D & !E & !F))
((!A & !B & (!C | D)) -> !E),(A | B | (C & !D) | !E)
