Original,Refactoring,Improvement,Original Score,Refactoring Score
(A<->((B|C)&!D)),(A<->((B|C)&!D)),1.0,27.000000000000004,27.000000000000004
((A&!B)->(!C->!D)),(!A|B|C|!D),0.5582635186595583,26.260000000000005,14.660000000000002
((!A&!B&C&!D)->E),(A|B|!C|D|E),0.6662087912087911,21.840000000000003,14.549999999999999
!(A&(B|C|D)),(!A|(!B&!C&!D)),0.8085795224605423,24.71,19.98
((!A&!B&!C)->(!D&!E)),(A|B|C|(!D&!E)),0.7448543689320389,25.749999999999996,19.18
((!A&B&C&D)->!E),!(!A&B&C&D&E),0.784869976359338,21.15,16.599999999999998
(((A|!B)&!C)->!D),((!A&B)|C|!D),0.7237354085603112,25.700000000000003,18.599999999999998
(!A&!B&!C&!D&!E&!F),(!A&!B&!C&!D&!E&!F),1.0,18.08,18.08
((!A&B&!C&(C|D))->E),(A|!B|C|(!C&!D)|E),0.7814291173098968,26.17,20.450000000000003
(((A|B|C|!D)&!E)->!F),((!A&!B&!C&D)|E|!F),0.7870439314966492,26.860000000000003,21.14
((!A&B)->(!C&!D)),(A|!B|(!C&!D)),0.8108448928121059,23.790000000000003,19.290000000000003
((A&!B&C)->(!D&!E)),(!A|B|!C|(!D&!E)),0.843660237997538,24.37,20.560000000000002
((A&!B)->(C&!D&!E)),(!A|B|(C&!D&!E)),0.8153467377923677,24.37,19.87
((!A&B&C)->!D),(A|!B|!C|!D),0.7462323772484202,20.57,15.350000000000003
(!A&!B&!C&D&E),(!A&!B&!C&D&E),1.0,15.430000000000001,15.430000000000001
(A->(!B&!C&!D&!E)),((B|C|D|E)->!A),0.9303151353750555,22.53,20.96
((!A&B&!C)->D),(A|!B|C|D),0.679144385026738,20.57,13.97
(A<->(!B&!C&!D)),(A<->(!B&!C&!D)),1.0,23.940000000000005,23.940000000000005
((A&B)->(!C&!D)),(!A|!B|(!C&!D)),0.864935064935065,23.099999999999998,19.98
(((A|B|!C)&!D)->!E),((!A&!B&C)|D|!E),0.7560882800608827,26.280000000000005,19.87
((A&!B)->!(C|D)),(!A|B|(!C&!D)),0.7337390642829974,26.290000000000003,19.290000000000003
((!A&!B&!C&D&!E)->F),(A|B|C|!D|E|F),0.6546949372565989,23.11,15.13
(((A|B)->C)&((D|E)->F)),(((A|B)->C)&((D|E)->F)),1.0,30.53,30.53
(A<->(B&!C&!D&!E)),(A<->(B&!C&!D&!E)),1.0,24.520000000000003,24.520000000000003
((A&!B&C)->(!D&!E&!F)),(!A|B|!C|(!D&!E&!F)),0.8514040561622466,25.639999999999997,21.83
((!A&!B&(!C|D))->!E),(A|B|(C&!D)|!E),0.7111605487578789,26.970000000000006,19.18
((!A&!B&!C)<->D),((!A&!B&!C)<->D),1.0,23.940000000000005,23.940000000000005
